"If the heart rate remains < 60/min, continue with CC + SI.","If heart rate remains < 60/min, continue CC + SI.",G0000000|C0018787|C0871208|G0000000|G0000000|C0549178|G0000000
Most of the respondents in the FFR group received the fortified rice and the non-FFR group received the normal rice.,Most respondents FFR received fortified rice non-FFR received normal rice.,C0205393|C0282122|C1412871|C1514756|G0000000|C0035567|C1518422|C1514756|C0205307|C0035567
Level II included exercises of self-destabilization of the CoP.,Level II included exercises self-destabilization CoP.,C0441889|G0000000|C0332257|C0015259|C0036588|G0000000
"That is why the programme is implemented and evaluated separately in four different settings (a) the drug addiction aid and youth welfare system, (b) the out-patient medical system, (c) the in-patient medical system and (d) prisons for juvenile offenders.","That programme implemented evaluated separately settings (a) drug addiction aid youth welfare system, (b) out-patient medical system, (c) in-patient medical system (d) prisons juvenile offenders.",G0000000|C1709697|G0000000|C0220825|G0000000|C0542559|G0000000|C0013227|C0085281|C0449435|C0001578|C0037440|C0449913|G0000000|C0029921|C0199168|C0449913|G0000000|C0150312|C0199168|C0449913|C0073187|C0033168|C3146221|C0699726
"No related article has been published yet on the use of the topical tetracycline ointment against generalized, stable vitiligo.","No article published topical tetracycline ointment generalized, stable vitiligo.",G0000000|C1706852|C0034037|C0332237|C0039644|C0028912|C0205246|C0205360|C0042900
The Hospital Elder Life Program (HELP) is an innovative program for the prevention of delirium in hospitalized older people.,The Hospital Elder Life Program (HELP) innovative program prevention delirium hospitalized people.,G0000000|C0019994|C0331055|C0376558|C1709697|C1269765|C0683243|C1709697|C0199176|C0011206|C0701159|C0027361
"Families enrolled were randomly assigned to one of three treatment arms: Arm 1: parent and adolescent each received a motivational intervention, Arm 2: parent received a motivational intervention and adolescents received an attention control intervention, or Arm 3: parents and adolescents each received an attention control intervention.","Families enrolled randomly assigned treatment arms: Arm 1: parent adolescent received motivational intervention, Arm 2: parent received motivational intervention adolescents received attention control intervention, Arm 3: parents adolescents received attention control intervention.",C0015576|G0000000|G0000000|C1516050|C0039798|C0206655|C0446516|G0000000|C0030551|C0205653|C1514756|C0026605|C0886296|C0446516|G0000000|C0030551|C1514756|C0026605|C0886296|C0205653|C1514756|C0004268|C0243148|C0886296|C0446516|G0000000|C0030551|C0205653|C1514756|C0004268|C0243148|C0886296
"Women from hospitals throughout 13 countries received a 14 day course of either oral moxifloxacin, 400 mg once daily (n = 384), or oral ofloxacin, 400 mg twice daily plus oral metronidazole, 500 mg twice daily (n = 365).","Women hospitals 13 countries received 14 day oral moxifloxacin, 400 mg daily (n = 384), oral ofloxacin, 400 mg daily oral metronidazole, 500 mg daily (n = 365).",C0043210|C0019994|C0450371|C0454664|C1514756|G0000000|C0442027|C0536495|G0000000|C0332173|G0000000|C0442027|C0028902|G0000000|C0332173|C0442027|C0025872|G0000000|C0332173|G0000000
Twenty six with daytime normocapnia and nocturnal hypercapnia were randomised to either nocturnal NIV or to a control group without ventilatory support.,Twenty daytime normocapnia nocturnal hypercapnia randomised nocturnal NIV control ventilatory support.,C0724000|C0332169|G0000000|C0240526|C0020440|G0000000|C0240526|C0598902|C0243148|G0000000|C0183683
"Objective: To evaluate the protective eyewear promotion (PEP) project, which was a comprehensive educational strategy to increase the use of appropriate protective eyewear by squash players.","Objective: To evaluate protective eyewear promotion (PEP) project, comprehensive educational strategy increase protective eyewear squash players.",C0018017|C0040363|C0220825|G0000000|C1456528|C0033414|C1335057|C1709701|C1880156|C0587721|C0679199|C0442805|G0000000|C1456528|C0038076|G0000000
"Four exercises (seated bent knee calf raise, seated straight knee calf press, standing calf raise, and tibialis anterior raise) will be trained unilaterally on left and right legs.","Four exercises (seated bent knee calf raise, seated straight knee calf press, standing calf raise, tibialis anterior raise) trained unilaterally left legs.",C0205450|C0015259|C0277814|C0205133|C0022742|C0230445|G0000000|C0277814|C0445291|C0022742|C0230445|G0000000|C0231472|C0230445|G0000000|C1710422|C0205094|G0000000|C0336809|G0000000|C0205091|C1140621
Children allocated to the yoghurt groups received one cup of the yoghurt (60 g) daily during the lunch break of the school for one year.,Children allocated yoghurt received cup yoghurt (60 g) daily lunch break school year.,C0008059|G0000000|C0043419|C1514756|C1533124|C0043419|C0450371|C0439267|C0332173|C2697949|C1881704|C0036375|C0439234
"Treated patients spent 36/52 weeks on doses of 10,000 IU/day of VD3 or greater, with a mean daily dose of roughly 14,000 IU/day, reaching a mean peak of serum 25(OH)D >400 nmol/L.","Treated patients spent 36/52 weeks doses 10,000 IU/day VD3 greater, daily dose roughly 14,000 IU/day, reaching peak serum 25(OH)D >400 nmol/L.",C1522326|C0030705|C0680968|C0450371|C0439230|C0178602|C0450371|C0439465|G0000000|C1704243|C0332173|C0178602|G0000000|C0450371|C0439465|C2584321|C0444505|C0229671|C0450371|C1442061|C0439282
The entire procedure was performed under sterile conditions.,The entire procedure performed sterile conditions.,G0000000|C0439751|C0184661|C0884358|C0021359|C0012634
"Training followed the guidelines and learning objectives outlined in the publication, Standards of Training in Clinical Hypnosis.13 Patients in the hypnosis intervention condition were scheduled for five weekly sessions, each to last approximately 50 minutes.","Training guidelines learning objectives outlined publication, Standards Training Clinical Hypnosis.13 Patients hypnosis intervention condition scheduled weekly sessions, 50 minutes.",C0040607|C0162791|C0013621|C0018017|G0000000|C0034036|C0038137|C0040607|C0205210|C0020587|C0030705|C0020587|C0886296|C0012634|C0086960|C0332174|C1883016|C0450371|C0439232
"[20], they found that CPAPFlex significantly improved adherence of CPAP at 4 weeks (3.5 ± 2.8 hours for CPAP and 4.7 ± 2.2 hours for CPAPFlex corresponding to Cohen’s d of 0.49).","[20], CPAPFlex improved adherence CPAP 4 weeks (3.5 ± 2.8 hours CPAP 4.7 ± 2.2 hours CPAPFlex Cohen’s 0.49).",C0450371|G0000000|C0184511|C1510802|C0199451|G0000000|C0439230|G0000000|C0439227|C0199451|G0000000|C0439227|G0000000|G0000000|C0450371
"Patients were randomly assigned in equal proportions to receive either docetaxel (Taxotere; Sanofi-Aventis, Paris, France) (30 mg m−2) on days 1 and 8, cisplatin (60 mg m−2) on day 1, and 5-fluorouracil (200 mg m−2 per day) by continuous infusion, every 3 weeks (wTCF); or docetaxel (30 mg m−2) on days 1 and 8 and oral capecitabine (Xeloda; Roche, Basel, Switzerland) (800 mg m−2) twice daily on days 1–14, every 3 weeks (wTX).","Patients randomly assigned equal proportions receive docetaxel (Taxotere; Sanofi-Aventis, Paris, France) (30 mg m−2) days 1 8, cisplatin (60 mg m−2) day 1, 5-fluorouracil (200 mg m−2 day) continuous infusion, 3 weeks (wTCF); docetaxel (30 mg m−2) days 1 8 oral capecitabine (Xeloda; Roche, Basel, Switzerland) (800 mg m−2) daily days 1–14, 3 weeks (wTX).",C0030705|G0000000|C1516050|C0205163|C1709707|C1514756|C0246415|C0699967|C0331980|C0030561|C0016674|G0000000|C0439228|G0000000|G0000000|C0008838|G0000000|C0332173|G0000000|C0016360|G0000000|C0332173|C0549178|C0574032|G0000000|C0439230|G0000000|C0246415|G0000000|C0439228|G0000000|G0000000|C0442027|C0671970|C0724419|C0331965|C0331779|C0039021|G0000000|C0332173|C0439228|G0000000|G0000000|C0439230|C1825263
Women in the control group received standard professional care.,Women control received standard professional care.,C0043210|C0243148|C1514756|C1442989|C0679924|C1947933
"For patients with T4 fixed cancer and/or distal rectal tumors, a boost dose of 10.8 Gy (given over 3 days in 3.6 Gy fractions) was required (total cumulative dose of 55.8 Gy, including large pelvic fields).","For patients T4 fixed cancer and/or distal rectal tumors, boost dose 10.8 Gy (given 3 days 3.6 Gy fractions) required (total cumulative dose 55.8 Gy, including pelvic fields).",G0000000|C0030705|C0041403|C0443218|C0006826|G0000000|C0205108|C0205052|C0027651|C1511253|C0178602|C0450371|C0018408|C1442162|G0000000|C0439228|G0000000|C0018408|C1264633|C1514873|C0439175|C1511559|C0178602|C0450371|C0018408|C0332257|C0030797|C0440042
"Immediately after enrollment, patients received one of the three colorless, odorless, and tasteless study drugs: 5 mg haloperidol (as a solution containing 1 mg/mL), 40 mg ziprasidone (as a solution containing 8 mg/mL), or matching placebo (as a 5 mL solution).","Immediately enrollment, patients received colorless, odorless, tasteless study drugs: 5 haloperidol (as solution 1 mg/mL), 40 ziprasidone (as solution 8 mg/mL), matching placebo (as 5 mL solution).",C0205548|C1516879|C0030705|C1514756|C0475331|G0000000|G0000000|C0557651|C0013227|G0000000|C0018546|G0000000|C0037633|G0000000|C0439294|C0450371|C0380393|G0000000|C0037633|G0000000|C0439294|C0150103|C0032042|G0000000|G0000000|C0439526|C0037633
"All the children received either placebo or nedocromil sodium, 4 mg every 6 h for 6 weeks.","All children received placebo nedocromil sodium, 4 6 6 weeks.",G0000000|C0008059|C1514756|C0032042|C0068483|C0037473|G0000000|G0000000|G0000000|C0439230
BUD = budesonide; DPI = dry powder inhaler; FM = formoterol; pMDI = pressurized metered-dose inhaler.,BUD = budesonide; DPI = dry powder inhaler; FM = formoterol; pMDI = pressurized metered-dose inhaler.,C2700462|G0000000|C0054201|G0000000|G0000000|C0011682|C0032861|C0021461|C3540627|G0000000|C0060657|G0000000|G0000000|G0000000|C0475209|C0021461
Patients in the case group underwent daily chest physiotherapy by vibrator and chest percussion by their trained parents or an experienced staff.,Patients underwent daily chest physiotherapy vibrator chest percussion trained parents experienced staff.,C0030705|G0000000|C0332173|C0817096|C0949766|C0184304|C0817096|C0030987|C0336809|C0030551|C0237607|C0851286
Teacher manuals and videotaped lessons provided additional posttraining material.,Teacher manuals videotaped lessons provided additional posttraining material.,C0221457|C0024763|C0042655|G0000000|C1999230|C1524062|G0000000|C0520510
"An objective measure of adherence was obtained by determining the proportions of fatty acids in plasma cholesteryl esters in a random subgroup of 217 male patients at baseline, 211 at 20 months and 523 at 40 months.","An objective measure adherence determining proportions fatty acids plasma cholesteryl esters random subgroup 217 male patients baseline, 211 20 months 523 40 months.",G0000000|C0018017|C0079809|C1510802|G0000000|C1709707|G0000000|C0001128|C0032105|G0000000|C0014898|C0034656|C1079230|C1442061|C0086582|C0030705|C0168634|C1442061|C0450371|C0439231|C1442061|C0450371|C0439231
Twelve weeks of alternating days of shoulder-and-elbow and wrist training (with at least 24 hours between alternations) using the planar and wrist robots in standalone mode (three times/week: 36 sessions).,Twelve weeks alternating days shoulder-and-elbow wrist training (with 24 hours alternations) planar wrist robots standalone mode (three times/week: 36 sessions).,C0205458|C0439230|C0332270|C0439228|C0037004|C0043262|C0040607|G0000000|C0450371|C0439227|C0919661|C0444660|C0043262|C0336537|C0560204|C1513371|C0205449|C0456698|C0450371|C1883016
"1) Model family : household head/caregiver, which had taken basic training for 96 hours and graduated on the 16 health extension packages.","1) Model family : household head/caregiver, basic training 96 hours graduated 16 health extension packages.",G0000000|C3161035|C0015576|G0000000|C0020052|C0018670|C1527178|C0040607|C0450371|C0439227|C0588053|C0450371|C0018684|C0231448|C0013194
The OnTrack is a relatively high intensity exercise program which is supervised by a physical therapist in an outpatient or general physical therapy practice setting.,The OnTrack intensity exercise program supervised physical therapist outpatient physical therapy practice setting.,G0000000|G0000000|C0522510|C0015259|C1709697|G0000000|C0031809|C0871525|C0029921|C0031809|C0039798|C0237607|C0542559
"Subjects initially took one capsule daily, and increased intake to two capsules daily after finding that one capsule daily was well-tolerated.","Subjects initially capsule daily, increased intake capsules daily finding capsule daily well-tolerated.",C0681850|C0205265|C0006935|C0332173|C0205217|C1512806|C0006935|C0332173|C0037088|C0006935|C0332173|C0205170
Treatment was initiated at the TASO Jinja clinic.,Treatment initiated TASO Jinja clinic.,C0039798|C1548602|G0000000|G0000000|C0002424
"Despite the fact that the patients had already received more than one year of traditional speech therapy prior to enrollment in our study, they presented with significantly impaired verbal output and remained unable to speak fluently.","Despite patients received traditional speech therapy prior enrollment study, impaired verbal output remained unable speak fluently.",G0000000|C0030705|C1514756|C0443324|C0037817|C0039798|C0332152|C1516879|C0557651|C0221099|C0439824|C1709366|G0000000|C1299582|C0234856|G0000000
"The regimens (doses in milligrams per square meters) were as follows: Arm A, irinotecan 350 mg/m2 on day 1, every 3 weeks (300 mg/m2 for patients with ECOG PS 2, ≥ 70 years of age, or prior pelvic radiotherapy); arm B, oxaliplatin 85 mg/m2 on day 1 and bolus FU 400 mg/m2 plus leucovorin 200 mg/m2 followed by FU 600 mg/m2 in 22-hour infusions on days 1 and 2, every 2 weeks.","The regimens (doses milligrams square meters) follows: Arm A, irinotecan 350 mg/m2 day 1, 3 weeks (300 mg/m2 patients ECOG PS 2, ≥ 70 age, prior pelvic radiotherapy); arm B, oxaliplatin 85 mg/m2 day 1 bolus FU 400 mg/m2 leucovorin 200 mg/m2 FU 600 mg/m2 22-hour infusions days 1 2, 2 weeks.",G0000000|C2945654|C0178602|C0439210|C0205120|C0441074|C0332283|C0446516|G0000000|C0123931|C1442061|C0026410|C0332173|G0000000|G0000000|C0439230|C1442061|C0026410|C0030705|C0430797|C0242397|G0000000|G0000000|C0450371|C0001779|C0332152|C0030797|C0034619|C0446516|G0000000|C0069717|C0450371|C0026410|C0332173|G0000000|C1511237|C0016360|C1442061|C0026410|C0023413|C1442061|C0026410|C0016360|C1442061|C0026410|C0450371|C0574032|C0439228|G0000000|G0000000|G0000000|C0439230
"There were a total of 6 symptomatic ICHs; 3/19 (15.8%) in the 0.4 mg/kg group, 2/31 (6.5%) in the 0.25 mg/kg tenecteplase group, and none (0/31) in the 0.1 mg/kg tenecteplase group.","There total 6 symptomatic ICHs; 3/19 (15.8%) 0.4 mg/kg group, 2/31 (6.5%) 0.25 mg/kg tenecteplase group, (0/31) 0.1 mg/kg tenecteplase group.",G0000000|C0439175|G0000000|C0231220|C0019191|C0450371|C0450371|G0000000|C0439272|C0441833|C0450371|G0000000|C0450371|C0439272|C0872913|C0441833|C0450371|G0000000|C0439272|C0872913|C0441833
"Treatment with gluco-corticoids (methylprednisolone, 1–3 mg/kg/day for up to 7 days) was administered to 29 (43%) of 67 patients and was more commonly given to patients who died than survivors (65% vs. 29%; P = .004).","Treatment gluco-corticoids (methylprednisolone, 1–3 mg/kg/day 7 days) administered 29 (43%) 67 patients commonly patients died survivors (65% vs. 29%; P = .004).",C0039798|C0001617|C0025815|G0000000|C3665414|G0000000|C0439228|C1521801|C0450371|C0450371|C0450371|C0030705|G0000000|C0030705|C0011065|C0206194|C0450371|G0000000|C0450371|C0369773|G0000000|C1442061
"Transplant education postcards will also be mailed to patients every two weeks following the mailing of each of the four modules, for a total of 12 postcards over the course of 8 months.","Transplant education postcards mailed patients weeks mailing modules, total 12 postcards 8 months.",C0040732|C0013621|C2717852|C0024492|C0030705|C0439230|C0024492|C1709061|C0439175|C0450371|C2717852|G0000000|C0439231
"Methods: In a single center open-label randomized, controlled clinical Phase I/II pilot study, 15 pregnant women with confirmed MS with low serum 25-hydroxyvitamin D (25(OH)D) levels were randomly allocated to receive either 50,000 IU/week vitamin D3 or routine care from 12 to 16 weeks of gestation till delivery.","Methods: In single center open-label randomized, controlled clinical Phase I/II pilot study, 15 pregnant women confirmed MS low serum 25-hydroxyvitamin D (25(OH)D) levels randomly allocated receive 50,000 IU/week vitamin D3 routine care 12 16 weeks gestation till delivery.",C0025663|G0000000|C0037179|C0205099|C1709323|C0034656|C2587213|C0205210|C0205390|C0021966|C0473169|C0557651|C0450371|C0549206|C0043210|C0521093|C0039676|C0205251|C0229671|C0450371|C0073187|C0450371|C0441889|G0000000|G0000000|C1514756|C0450371|C0049272|C0042890|C3538936|C0205547|C1947933|C0450371|C0450371|C0439230|C0032961|G0000000|C0011209
"The treatment group completed 10 sessions of the mSMT,10 2 times per week for 5 weeks, with sessions lasting 45 to 60 minutes.","The treatment completed 10 sessions mSMT,10 2 times week 5 weeks, sessions lasting 45 60 minutes.",G0000000|C0039798|C0205197|C0450371|C1883016|C0450371|G0000000|C0040223|C0332174|G0000000|C0439230|C1883016|C1517741|C0450371|C0450371|C0439232
"The training program will include learner-centered, skills-focused, practice-oriented techniques.","The training program learner-centered, skills-focused, practice-oriented techniques.",G0000000|C0040607|C1709697|C0205099|C0678856|C0237607|C0025664
"This reflects standard primary care, where giving written information is common practice.","This reflects standard primary care, written common practice.",G0000000|C0558058|C1442989|C0205225|C1947933|C0043266|C0205214|C0237607
"Additionally, participants will be asked to return for two 1 h ‘booster’ training sessions 3 and 9 months following the initial training period.","Additionally, participants return 1 ‘booster’ training sessions 3 9 months initial training period.",G0000000|C0679646|C0332156|G0000000|G0000000|C0040607|C1883016|G0000000|G0000000|C0439231|C0205265|C0040607|C0439531
"The discussions were centered around medical and psychosocial problems of FMS (that is, stress in different areas of the patients' lives, physician-patient interaction, and use of medication).","The discussions centered medical psychosocial FMS (that is, stress patients' lives, physician-patient interaction, medication).",G0000000|C0557061|C0205099|C0199168|C0542298|G0000000|G0000000|G0000000|C0038435|C0030705|C0595998|C0031830|C1704675|C0013227
"Higher cannabis problems were significantly associated with reduced hazard of dropout in the topiramate group (p = .048), and were non-significantly associated with increased hazard of dropout in the placebo group (p = .062).","Higher cannabis reduced hazard dropout topiramate (p = .048), non-significantly increased hazard dropout placebo (p = .062).",C0205250|C0024808|C0392756|C0598697|C0013135|C0076829|C0369773|G0000000|C1442061|C1518422|C0205217|C0598697|C0013135|C0032042|C0369773|G0000000|C1442061
"Aims: To assess outcomes in families who received the First Parent Health Visitor Scheme (FPHVS), in comparison with families who received conventional (""generic"") health visiting.","Aims: To assess outcomes families received First Parent Health Visitor Scheme (FPHVS), comparison families received conventional (""generic"") health visiting.",C1947946|C0040363|C1516048|C1274040|C0015576|C1514756|C0205435|C0030551|C0018684|G0000000|C1519193|G0000000|C1707455|C0015576|C1514756|C0439858|C0085155|C0018684|C0545082
EG: Experimental group; CG: Control group; MMSE-K: Mini Mental State Examination-Korea version The EG additionally participated in the canoe game-based VR training program.,EG: Experimental group; CG: Control group; MMSE-K: Mini Mental State Examination-Korea version The EG additionally participated canoe game-based VR training program.,C0013715|C1517586|C0441833|C0043444|C0243148|C0441833|C0451306|C0445542|C0229992|C1301808|C0022771|C0333052|G0000000|C0013715|G0000000|G0000000|C0336846|C0150593|C3476815|C0040607|C1709697
Both IFEs were provided at 1g/kg/day and this dose was kept constant throughout the study period.,Both IFEs provided 1g/kg/day dose constant study period.,G0000000|C1611269|C1999230|C0017209|C0178602|C1547014|C0557651|C0439531
However the medical team may or may not accept the care coordinators recommendations.,However medical team accept care coordinators recommendations.,G0000000|C0199168|C0871489|C1272684|C1947933|C1711307|C0034866
"Heart rate was monitored on a heart rate monitor, to respect the fixed threshold.","Heart rate monitored heart rate monitor, respect fixed threshold.",C0018787|C0871208|C0030695|C0018787|C0871208|C0030695|C0679133|C0443218|C0449864
"The intervention and control conditions were set up in line with the standard procedure for testing VIPP intervention efficacy reported in the literature (e.g., see Negrão et al., 2014), as described below.","The intervention control conditions set standard procedure testing VIPP intervention efficacy reported literature (e.g., Negrão al., 2014), below.",G0000000|C0886296|C0243148|C0012634|C0036849|C1442989|C0184661|C0039593|G0000000|C0886296|C1280519|C0684224|C0023866|G0000000|G0000000|C0202311|G0000000|G0000000
"Cediranib doses (20 mg, 30 mg) were given once daily as oral tablets, lomustine doses (110 mg/m2) were given as oral capsules once every 6 weeks, and cediranib-matched placebo was given once daily as oral tablets.","Cediranib doses (20 mg, 30 mg) daily oral tablets, lomustine doses (110 mg/m2) oral capsules 6 weeks, cediranib-matched placebo daily oral tablets.",C1698364|C0178602|C0450371|C0026410|C0450371|C0026410|C0332173|C0442027|C0039225|C0023972|C0178602|C1442061|C0026410|C0442027|C0006935|G0000000|C0439230|C1698364|C0032042|C0332173|C0442027|C0039225
"Respondents in nutrition arms were provided with two 10-g sachets of LNS per day for each of their children 6 to 24 months of age, although delivery had only begun a month before the follow-up survey (the LNS produced specifically for this study cost 3 Euro per kilogram or approximately $4.05, and it was not sold commercially).","Respondents nutrition arms provided 10-g sachets LNS day children 6 24 months age, delivery begun month follow-up survey (the LNS produced study cost 3 Euro kilogram $4.05, sold commercially).",C0282122|C0028707|C0206655|C1999230|C0450371|C1319685|C0023374|C0332173|C0008059|G0000000|C0450371|C0439231|C0001779|C0011209|C0439659|C0332177|C0589120|C0038951|G0000000|C0023374|G0000000|C0557651|C0010186|G0000000|C1533125|C0439209|C0450371|G0000000|G0000000
Peripheral blood samples were collected at enrollment (at 10–18 weeks of gestation) and during the 3rd trimester at 32–38 weeks of gestation.,Peripheral blood samples collected enrollment (at 10–18 weeks gestation) 3rd trimester 32–38 weeks gestation.,C0205100|C0005767|C0370003|C1516695|C1516879|G0000000|G0000000|C0439230|C0032961|G0000000|C0032982|G0000000|C0439230|C0032961
"Circuit training consisted of a 5-min warm-up period, five classes of 15-min duration of complex exercises interspersed by 1-min rest, and a 5-min cool-down period.","Circuit training consisted 5-min warm-up period, classes 15-min duration complex exercises interspersed 1-min rest, 5-min cool-down period.",G0000000|C0040607|C0332529|C0702093|C2350169|C0439531|C0456387|C0450371|C0449238|C0439855|C0015259|G0000000|C0702093|C0035253|C0702093|C1548792|C0439531
"Owing to the possibility that PDE-5i may influence adversely patients’ profile, the tadalafil dose will be increased from 20 to 40 mg daily as clinically tolerated over the course of the study duration rather than according to a predetermined schedule per se.","Owing possibility PDE-5i influence adversely patients’ profile, tadalafil dose increased 20 40 daily clinically tolerated study duration predetermined schedule se.",G0000000|C0332149|C1720296|C4054723|G0000000|G0000000|C1979963|C1176316|C0178602|C0205217|C0450371|C0450371|C0332173|G0000000|G0000000|C0557651|C0449238|G0000000|C0086960|C0036919
Patients were assigned to the surveillance group when they had undergone one or more surveillance colonoscopies before a diagnosis of CRC.,Patients assigned surveillance undergone surveillance colonoscopies diagnosis CRC.,C0030705|C1516050|C0220920|G0000000|C0220920|C0009378|C0011900|C0009402
Group-1; (n=12) was treated with coenzyme Q10 for six months and group-2 ;(n=13) received placebo for the same time.,Group-1; (n=12) treated coenzyme Q10 months group-2 ;(n=13) received placebo time.,C0441857|C0369718|C1522326|C0009235|G0000000|C0439231|C0441857|C0369718|C1514756|C0032042|C0040223
"Curriculum and teaching materials were developed by the WHO Collaborating Center in dialogue with Kenya partners, based on the Kenya adaptation of the WHO primary care guidelines.","Curriculum teaching materials developed WHO Collaborating Center dialogue Kenya partners, based Kenya adaptation WHO primary care guidelines.",C0010478|C0039401|C0520510|G0000000|G0000000|G0000000|C0205099|G0000000|C0022558|C0682323|C1527178|C0022558|C0000934|G0000000|C0205225|C1947933|C0162791
"The participants were allocated to either group 1, which received robot-assisted gait training for 4 weeks followed by conventional physical therapy for 4 weeks, or group 2, which received the same treatments in the reverse order.","The participants allocated 1, received robot-assisted gait training 4 weeks conventional physical therapy 4 weeks, 2, received treatments reverse order.",G0000000|C0679646|G0000000|G0000000|C1514756|C3844190|C0016928|C0040607|G0000000|C0439230|C0439858|C0031809|C0039798|G0000000|C0439230|G0000000|C1514756|C0087111|C1555029|C1705175
These services are not open for caregivers.,These services caregivers.,G0000000|C0557854|C0085537
Participants will also receive weekly reminder emails to encourage engagement with the website.,Participants receive weekly reminder emails encourage engagement website.,C0679646|C1514756|C0332174|C1709896|C0013849|G0000000|C0425152|C2349146
"Moreover, patients were allowed to continue use of vitamin D supplements, and more than 50% of the patients in the placebo group reported a vitamin D intake exceeding 7.5 μg/day.","Moreover, patients allowed continue vitamin D supplements, 50% patients placebo reported vitamin D intake exceeding 7.5 μg/day.",G0000000|C0030705|C0683607|C0549178|C0042890|C0073187|C0242295|C0450371|C0030705|C0032042|C0684224|C0042890|C0073187|C1512806|G0000000|G0000000|G0000000
"Patients in the study group received a comprehensive discharge planning protocol prior to discharge and a standardized 6-week post-discharge nurse-led telephone support intervention according to previous studies, mainly by Wong, in Hong Kong (8,16).","Patients study received comprehensive discharge planning protocol prior discharge standardized 6-week post-discharge nurse-led telephone support intervention previous studies, Wong, Hong Kong (8,16).",C0030705|C0557651|C1514756|C1880156|C0012621|C0032074|C0442711|C0332152|C0012621|G0000000|C0332174|C0687676|C0028661|C0039457|C0183683|C0886296|C0205156|C0947630|G0000000|G0000000|G0000000|C0450371
"The Cycling Connecting Communities (CCC) Project is a community-based cycling promotion program that included a range of community engagement and social marketing activities, such as organised bike rides and events, cycling skills courses, the distribution of cycling maps of the area and coverage in the local press.","The Cycling Connecting Communities (CCC) Project community-based cycling promotion program included range community engagement social marketing activities, organised bike rides events, cycling skills courses, distribution cycling maps coverage local press.",G0000000|C1511572|C2986575|C0009462|G0000000|C1709701|C0009462|C1511572|C0033414|C1709697|C0332257|C1514721|C0009462|C0425152|C0728831|C0024826|C0441655|C1300196|C0005375|G0000000|C0441471|C1511572|C0678856|C0750729|C0520511|C1511572|C0024779|C1551362|C0205276|G0000000
"Thus, another program of rehabilitation might be added to the other programs, and also may represent yet another valuable tool in pulmonary rehabilitation.","Thus, program rehabilitation programs, represent valuable tool pulmonary rehabilitation.",G0000000|C1709697|C0034991|C0376691|C1882932|G0000000|C0336791|C0024109|C0034991
A maximum oral opening will be required for the first exercise; the second exercise will be a tongue slippage on the palate; and the third exercise will be oral lateralization to the right and left with contraction of the masseter muscle.,A maximum oral required exercise; exercise tongue slippage palate; exercise oral lateralization left contraction masseter muscle.,G0000000|C0806909|C0442027|C1514873|C0015259|C0015259|C0040408|C1883041|C0700374|C0015259|C0442027|G0000000|C0205091|C1140999|C0024876|C0026845
"In our study, the amount of flavanols from dark chocolate was smaller than in the above-mentioned studies.","In study, amount flavanols dark chocolate above-mentioned studies.",G0000000|C0557651|C1265611|C2348678|C0332582|C0006622|C1282910|C0947630
"At the end of the study, the patient will be asked to return the home BP monitor to study staff.","At study, patient return BP monitor study staff.",G0000000|C0557651|C0030705|C0332156|C0037623|C0030695|C0557651|C0851286
Compliance with nutritional supplementation was checked by review by the dietician and by random home visits by a field worker (up to 2–3 visits) who counted remaining sachets and enquired about their use.,Compliance nutritional supplementation checked review dietician random visits field worker (up 2–3 visits) counted remaining sachets enquired use.,C0009563|C1521739|C0242297|C1283174|C0282443|C3536818|C0034656|C0545082|C0440042|C1306056|G0000000|G0000000|C0545082|C0750480|C1527428|C1319685|G0000000|C0042153
"For Aim 2, we will compare the RM group with the FSM group.","For Aim 2, compare RM FSM group.",G0000000|C1947946|G0000000|C1707455|C0024851|C0282244|C0441833
Patients will be randomized 1:1 to receive either placebo (1 tablet daily) or oxpentifylline (400 mg daily) per os for a period of 4 months.,Patients randomized 1:1 receive placebo (1 tablet daily) oxpentifylline (400 daily) os period 4 months.,C0030705|C0034656|G0000000|C1514756|C0032042|G0000000|C0039225|C0332173|C0030899|C1442061|C0332173|C0229090|C0439531|G0000000|C0439231
"At 9 mo of age, mean (±SEM) intakes of total (complementary feeding plus breast milk) protein were 2.9 ± 0.6 and 1.4 ± 0.4 g · kg−1 · d−1, ∼17% and ∼9% of daily energy intake, for Meat and Cereal groups, respectively (P < 0.001).","At 9 mo age, (±SEM) intakes total (complementary feeding breast milk) protein 2.9 ± 0.6 1.4 ± 0.4 · kg−1 · d−1, ∼17% ∼9% daily energy intake, Meat Cereal groups, (P < 0.001).",G0000000|G0000000|C0026544|C0001779|G0000000|C1512806|C0439175|G0000000|C0204695|C0006141|C0026131|C0033684|G0000000|G0000000|G0000000|G0000000|G0000000|G0000000|G0000000|G0000000|G0000000|G0000000|G0000000|G0000000|C0332173|C0424589|C1512806|C0025017|C0007757|C0441833|C0369773|G0000000|C1442061
"Study Group: From the first 1 to 3 days, pemetrexed (Qilu Pharmaceutical: trade name Race Jane) was dissolved with 20 ml 0.9% NaCl injection at the concentration of 500 mg/m2.","Study Group: From 1 3 days, pemetrexed (Qilu Pharmaceutical: trade Race Jane) dissolved 20 0.9% NaCl injection concentration 500 mg/m2.",C0557651|C0441833|G0000000|G0000000|G0000000|C0439228|C0210657|G0000000|C0031336|G0000000|C0034510|G0000000|C1549535|C0450371|G0000000|C0037494|C0021485|C0004268|C1442061|C0026410
