"After October 2004, an aromatase inhibitor was allowed.","After October 2004, aromatase inhibitor allowed.",G0000000|C3828732|G0000000|C0003805|C1999216|C0683607
"At enrolment, mothers were shown how to reconstitute the powdered milk.","At enrolment, mothers reconstitute powdered milk.",G0000000|C1516879|C0026591|G0000000|C0032861|C0026131
"At the end of the study, general practitioners were asked to report any adverse effects and any specifi c diagnoses (eg, arthritis, sciatica, trauma) made.","At study, practitioners report adverse effects specifi diagnoses (eg, arthritis, sciatica, trauma) made.",G0000000|C0557651|C1709627|C0684224|G0000000|C1280500|G0000000|C0011900|C0013715|C0003864|C0036396|C0043251|C1881534
"Having three or more loose or watery stools in a 24 hour period, as reported by the mother/caretaker of the child.","Having loose watery stools 24 hour period, reported mother/caretaker child.",G0000000|C0205407|C0443350|C0015733|C0450371|C0439227|C0439531|C0684224|C0026591|C0008059
"Epoetin β (NeoRecormon®, F Hoffmann-La Roche Ltd, Basel, Switzerland) was administered s.c., by the patients themselves, relatives or health-care personnel, commencing at a dose of 150 IU kg−1 three times weekly.","Epoetin β (NeoRecormon®, F Hoffmann-La Roche Ltd, Basel, Switzerland) administered s.c., patients themselves, relatives health-care personnel, commencing dose 150 IU kg−1 times weekly.",C0014822|G0000000|G0000000|C0016327|C0023031|C0331965|C1136140|C0331779|C0039021|C1521801|C0565930|C0030705|G0000000|C0080103|C0086388|C0024752|C3274784|C0178602|G0000000|C0040223|C0332174
"The oxybutynin chloride was used at the dose of 0.2mg/ kg, split into two times a day, during 3 months.","The oxybutynin chloride dose 0.2mg/ kg, split times day, 3 months.",G0000000|C0069805|C0008203|C0178602|G0000000|C0022718|C1534709|C0040223|C0332173|G0000000|C0439231
Trial schedule.,Trial schedule.,C0008976|C0086960
"The adequacy of intralesional surgery is advocated by some surgeons [2, 13] and opposed by others [17–19, 23].","The adequacy intralesional surgery advocated surgeons [2, 13] opposed [17–19, 23].",G0000000|C0205410|C1512954|C0038894|C1510823|C0582175|G0000000|C0450371|G0000000|G0000000|C0450371
"For event-free survival, the time to an event was defined as the time from study enrollment (which occurred after transplantation) until the first occurrence of relapse, progressive disease, secondary cancer, or death or, if none of these events occurred, until the last contact with the patient.","For event-free survival, time event defined time study enrollment (which occurred transplantation) occurrence relapse, progressive disease, secondary cancer, death or, events occurred, contact patient.",G0000000|C0441471|C0038952|C0040223|C0441471|C1704788|C0040223|C0557651|C1516879|G0000000|C1709305|C0040732|C0243132|C0035020|C0205329|C0012634|C0027627|C0006826|C0011065|G0000000|C0441471|C1709305|C0332158|C0030705
"The GFR was estimated (eGFR) using the revised Schwartz formula: eGFR (ml*min−1*1.73 m−2) = k × height (m)/serum creatinine [in mg/dL]), with a κ value of 41.3 [10].","The GFR estimated (eGFR) revised Schwartz formula: eGFR (ml*min−1*1.73 m−2) = k × height (m)/serum creatinine [in mg/dL]), κ 41.3 [10].",G0000000|C0017654|C0750572|C1739039|C1527075|G0000000|C0489829|C1739039|G0000000|G0000000|C0229671|C0010294|G0000000|C0439269|G0000000|C0450371|C0450371
The Staphefekt endolysin is made available in a cetomacrogol-based cream.,The Staphefekt endolysin cetomacrogol-based cream.,G0000000|G0000000|C0059246|C0007901|C0700385
"The therapist (JH) is a nationally certified massage therapist, licensed in the State of Florida (where study was conducted), with 5 years of experience in the field of MT.","The therapist (JH) nationally certified massage therapist, licensed State Florida (where study conducted), 5 experience field MT.",G0000000|C0871525|C0268060|G0000000|C0007836|C0024875|C0871525|C0023636|C1301808|C0016253|G0000000|C0557651|C0004927|G0000000|C0237607|C0440042|G0000000
⋄ Less than 9 months; ▪ 9–18 months; ▴ more than 18 months; • introduction of a generic waiting list for elective spinal surgery The introduction of these systems has dramatically reduced waiting times within our unit for each stage of the referral process.,⋄ Less 9 months; ▪ 9–18 months; ▴ 18 months; • introduction generic waiting list elective spinal surgery The introduction systems dramatically reduced waiting times unit stage referral process.,G0000000|C0439092|G0000000|C0439231|G0000000|G0000000|C0439231|G0000000|C0450371|C0439231|G0000000|C1293116|C0085155|C1610166|C0745732|C0206058|C0521329|C0038894|G0000000|C1293116|C0449913|G0000000|C0392756|C1610166|C0040223|C0439148|C0205390|C0034927|C1184743
"In the control group, 7 patients had undergone MRM, 6 had undergone BCS with ALND, and 7 had undergone BCS with sentinel lymph node biopsy.","In control group, 7 patients undergone MRM, 6 undergone BCS ALND, 7 undergone BCS sentinel lymph node biopsy.",G0000000|C0243148|C0441833|G0000000|C0030705|G0000000|G0000000|G0000000|G0000000|C1412777|C0193867|G0000000|G0000000|C1412777|C0950580|C0024202|C0746922|C0005558
Session 3 of both interventions was conducted in small groups of 6 to 10 participants and was facilitated by 2 health educators.,Session 3 interventions conducted 6 10 participants facilitated 2 health educators.,C1883016|G0000000|C0886296|C0004927|G0000000|C0450371|C0679646|G0000000|G0000000|C0018684|C0259853
"Five percent weight change is considered clinically relevant and a recommended goal for weight loss over 6 months [33,34].","Five percent weight change considered clinically relevant recommended goal weight loss 6 months [33,34].",C0205451|C0439165|C0005910|C0392747|C0750591|G0000000|C2347946|C0034866|C0018017|C0005910|C1517945|G0000000|C0439231|C0450371
Parents are instructed to keep a diary to document their interactions with their adolescent and home assignments are followed-up in subsequent sessions.,Parents instructed diary document interactions adolescent assignments followed-up subsequent sessions.,C0030551|G0000000|C0376660|C1301746|C1704675|C0205653|C1516050|C0332283|C0332282|C1883016
Patients whose initial provider was a physician were of higher socioeconomic status than those seen primarily by a NPC.,Patients initial provider physician socioeconomic status NPC.,C0030705|C0205265|C1138603|C0031831|C0748878|C0449438|G0000000
"Covers were also provided, as in standard MT practice.","Covers provided, standard MT practice.",C0180153|C1999230|C1442989|G0000000|C0237607
Early clinical trials support the possible benefit of GM-CSF as adjuvant therapy for melanoma.,Early clinical trials support benefit GM-CSF adjuvant therapy melanoma.,C1279919|C0205210|C0008976|C0183683|C0814225|C0079460|C0001551|C0039798|C0025202
Colostomy was performed in 11 (55%) of 20 patients and ileostomy was in 7 (35%) patients.,Colostomy performed 11 (55%) 20 patients ileostomy 7 (35%) patients.,C0009410|C0884358|C0450371|C0450371|C0450371|C0030705|C0020883|G0000000|C0450371|C0030705
Additionally the minimum score on the PDS to be included in the trial was 11 indicating moderate symptom severity.,Additionally minimum score PDS included trial 11 indicating moderate symptom severity.,G0000000|C1524031|C0449820|G0000000|C0332257|C0008976|C0450371|G0000000|C0205081|C1457887|C0439793
"A Progression-free-Survival (PFS) in days (Progression: PD according to mRECIST): Treatment (trt) 1 SIRT, Treatment (trt) 2 TACE B Overall Survival.","A Progression-free-Survival (PFS) days (Progression: PD mRECIST): Treatment (trt) 1 SIRT, Treatment (trt) 2 TACE B Overall Survival.",G0000000|C0242792|C0242792|C0439228|C0242656|G0000000|G0000000|C0039798|G0000000|G0000000|C1831994|C0039798|G0000000|G0000000|C0723595|G0000000|C0282416|C0038952
"In the sc arm, an additional 4 patients had a best response of CR compared with the original report of best response after eight cycles;5 3 patients improved from PR and one from VGPR on completion of all ten cycles.","In sc arm, additional 4 patients response CR compared original report response cycles;5 3 patients improved PR VGPR completion ten cycles.",G0000000|C0282380|C0446516|C1524062|G0000000|C0030705|C0871261|C0201975|C1707455|C0205313|C0684224|C0871261|C1511572|G0000000|C0030705|C0184511|C0279759|C4053871|C0205197|C0014518|C1511572
Method of suturing—coded as 0 for continuous; 1 for interrupted X method and 2 for Prof Hughes far-and-near method.,Method suturing—coded 0 continuous; 1 interrupted X method 2 Prof Hughes far-and-near method.,C0025663|G0000000|G0000000|C0549178|G0000000|C0443239|G0000000|C0025663|G0000000|C0599518|C1551730|C0205108|C0025663
"It is hypothesized that the intervention can minimize the loss of physical and functional capacity, reduce the symptom burden, improve psychosocial wellbeing and health related QOL.","It hypothesized intervention minimize loss physical functional capacity, reduce symptom burden, improve psychosocial wellbeing health QOL.",G0000000|G0000000|C0886296|G0000000|C1517945|C0031809|C0205245|C1516240|G0000000|C1457887|C2828008|G0000000|C0542298|C0018684|C0018684|C0518214
"Poor refuse disposal is attributed to direct contact with human excreta when the child starts to crawl, and easily accessible for vector and rodents, which are means of diarrhoea transmission so refuse disposal had important role in diarrhoea in the study area [16,18,19].","Poor refuse disposal attributed direct contact human excreta child starts crawl, easily accessible vector rodents, diarrhoea transmission refuse disposal role diarrhoea study [16,18,19].",C0032854|C0017095|C1707797|C0449234|C0439851|C0332158|C0086418|C0221102|C0008059|C0439659|C0235042|C0332219|C0814423|C0086022|C0035804|C0011991|C0040722|C0017095|C1707797|C0035820|C0011991|C0557651|C0450371
"In the CP arm, the median dose intensities of capecitabine and paclitaxel were 596 mg/m2/week and 48 mg/m2/week, respectively (90 % of the scheduled doses).","In CP arm, median dose intensities capecitabine paclitaxel 596 mg/m2/week 48 mg/m2/week, (90 % scheduled doses).",G0000000|C4050020|C0446516|C0549183|C0178602|C0522510|C0671970|C0144576|C1442061|C0026410|C0450371|C0026410|C0450371|G0000000|C0086960|C0178602
"Bevacizumab 7.5 mg/kg or placebo (bevacizumab vehicle) was given by intravenous infusion on day 1 every 3 weeks until disease progression, unacceptable toxicity, or withdrawal of consent.","Bevacizumab 7.5 mg/kg placebo (bevacizumab vehicle) intravenous infusion day 1 3 weeks disease progression, unacceptable toxicity, withdrawal consent.",C0796392|G0000000|C0439272|C0032042|C0796392|C0042444|C0348016|C0574032|C0332173|G0000000|G0000000|C0439230|C0012634|C0242656|C1883420|C0040539|C2349954|C1511481
"Both intervention and control communities received this health education programme, implemented mainly through lady health workers (LHW) and other local officers, who received specific training for this activity.","Both intervention control communities received health education programme, implemented lady health workers (LHW) local officers, received specific training activity.",G0000000|C0886296|C0243148|C0009462|C1514756|C0018684|C0013621|C1709697|G0000000|G0000000|C0018684|C0024752|G0000000|C0205276|C1549461|C1514756|C0205369|C0040607|C0205177
"Six (5%) patients had a PR: 3 in the dacarbazine alone arm, 1 in the 10 mg kg−1 intetumumab+dacarbazine arm, and 2 in the 10 mg kg −1 intetumumab monotherapy arm (Table 3).","Six (5%) patients PR: 3 dacarbazine arm, 1 10 mg kg−1 intetumumab+dacarbazine arm, 2 10 mg kg −1 intetumumab monotherapy arm (Table 3).",C0205452|G0000000|C0030705|C0279759|G0000000|C0010927|C0446516|G0000000|G0000000|C1881068|C0446516|G0000000|G0000000|C1881068|G0000000|C0446516|C0039224|G0000000
"The necrotic lesions are characterized by minimal associated inflammation thought to result from immunomodulatory effects of its pathogenic toxin mycolactone which impairs both local and systemic immune responses to the infection [2,3].","The necrotic lesions characterized minimal inflammation result immunomodulatory effects pathogenic toxin mycolactone impairs local systemic immune responses infection [2,3].",G0000000|C0027540|C0221198|C1880022|C0547040|C0021368|C1274040|G0000000|C1280500|C0450254|C0040549|C0763286|G0000000|C0205276|C0205373|C0439662|C0871261|C0009450|G0000000
A multiple logistic regression model was used to control known confounders.,A multiple logistic regression model control confounders.,G0000000|C0439064|C0242415|C0684320|C3161035|C0243148|G0000000
"Consecutive patients with non-malignant disease who were referred to BIS were invited to participate in the trial, by letter.","Consecutive patients non-malignant disease referred BIS invited participate trial, letter.",C1707491|C0030705|C1518371|C0012634|C0205543|C0556985|G0000000|G0000000|C0008976|C1096774
"After obtaining institutional ethical committee and review board's approval and written informed consent from the parents, the children were randomly allocated into two groups.","After obtaining institutional ethical committee review board's approval written informed consent parents, children randomly allocated groups.",G0000000|C1301820|C0018704|C0026531|C2699414|C0282443|C0972401|C0205540|C0043266|C1522154|C1511481|C0030551|C0008059|G0000000|G0000000|C0441833
"Assessments were completed at the adolescents’ school and were administered by research staff via audio computer-assisted self-interview software, an automated system that improved the rate of honest responses to sensitive questions in previous studies involving youths.13  Familias Unidas was delivered through 8 multiparent group sessions (10–15 parents) and 4 family sessions that took place in the evening at the school from which the adolescent was recruited.","Assessments completed adolescents’ school administered staff audio computer-assisted self-interview software, automated system improved rate honest responses sensitive questions previous studies involving youths.13 Familias Unidas delivered 8 multiparent sessions (10–15 parents) 4 family sessions evening school adolescent recruited.",C1261322|C0205197|G0000000|C0036375|C1521801|C0851286|C3273156|C2362103|C0036588|C0037585|C0205554|C0449913|C0184511|C0871208|C0870663|C0871261|C0020517|C1522634|C0205156|C0947630|C1314939|C0001578|G0000000|G0000000|C1705822|G0000000|G0000000|C1883016|G0000000|C0030551|G0000000|C0015576|C1883016|C0587117|C0036375|C0205653|G0000000
Four of the 10 patients with bilateral clubfeet who received Ponseti method in both feet and the other six who received Kite method in both feet were subjected to unpaired analysis.,Four 10 patients bilateral clubfeet received Ponseti method feet received Kite method feet subjected unpaired analysis.,C0205450|C0450371|C0030705|C0238767|C0009081|C1514756|G0000000|C0025663|C0016504|C1514756|C0336865|C0025663|C0016504|C0681850|C2700112|C0002778
"The education program comprises ten lessons in year eight (13-14 year olds) and eight in year nine (14-15 year olds) that address issues around the use of alcohol, tobacco, cannabis and other illicit drugs.","The education program comprises ten lessons (13-14 olds) (14-15 olds) address issues alcohol, tobacco, cannabis illicit drugs.",G0000000|C0013621|C1709697|C2700400|C0014518|G0000000|C0450371|C0580836|C0450371|C0580836|C0376649|C0033213|C0001962|C0040329|C0024808|C0332266|C0013227
N* denotes the number of cancers in the ART group.,N* denotes cancers ART group.,C0369718|G0000000|C0006826|C0003826|C0441833
"We particularly thank Qian-Qian Sun, Yan-Qi Hu, Jin-Rong Liu, Shan-Shan Liu, Jie Zhang, Jin-Qiu Ma, and Shan-Shan Geng of the Department of Child and Adolescent Health Care, MOE-Shanghai Key Laboratory of Children’s Environmental Health, Xinhua Hospital, Shanghai Jiao Tong University, School of Medicine, Shanghai Key Laboratory of Pediatric Gastroenterology and Nutrition, Shanghai Institute for Pediatric Research.","We Qian-Qian Sun, Yan-Qi Hu, Jin-Rong Liu, Shan-Shan Liu, Jie Zhang, Jin-Qiu Ma, Shan-Shan Geng Department Child Adolescent Health Care, MOE-Shanghai Key Laboratory Children’s Environmental Health, Xinhua Hospital, Shanghai Jiao Tong University, School Medicine, Shanghai Key Laboratory Pediatric Gastroenterology Nutrition, Shanghai Institute Pediatric Research.",G0000000|G0000000|C0038817|C0376586|G0000000|G0000000|G0000000|G0000000|G0000000|G0000000|G0000000|G0000000|C0024443|G0000000|G0000000|C1704729|C0008059|C0205653|C0018684|C1947933|G0000000|G0000000|C0022877|G0000000|C0014406|C0018684|G0000000|C0019994|G0000000|G0000000|C0183964|C0041740|C0036375|C0013227|G0000000|G0000000|C0022877|C0030755|C0017163|C0028707|G0000000|C0021622|C0030755|C0035168
"Nine items were used to record the frequency of the following behaviors over the past 3 months: unprotected and protected vaginal and anal intercourse, giving and receiving oral sex, the number of male and female sexual partners in the past 3 months, and number of times talked with partner about safer sex.","Nine items record frequency behaviors 3 months: unprotected protected vaginal anal intercourse, receiving oral sex, male female sexual partners 3 months, times talked partner safer sex.",C0205455|C1551338|C0034869|C0376249|C0004927|G0000000|C0439231|G0000000|G0000000|C0042232|C0003461|C0009253|C1514756|C0442027|C0009253|C0086582|C0015780|C0036864|C0682323|G0000000|C0439231|C0040223|C0037817|C0682323|C0036043|C0009253
So I wonder if you just could answer why a large proportion of the patients included did seem to have benign pathology such as diverticular disease and adenoma.,So I answer proportion patients included benign pathology diverticular disease adenoma.,C0037640|C0021966|C1706817|C1709707|C0030705|C0332257|C0205183|C0030664|C0012817|C0012634|C0001430
"Yet, the same assumptions were not violated for the other 5 SF-36v2 domain variables: MH, PF, RP, BP, and GH.","Yet, assumptions violated 5 SF-36v2 domain variables: MH, PF, RP, BP, GH.",G0000000|G0000000|G0000000|G0000000|C0037712|C1880389|C0439828|C0026514|C3815179|C0031529|C0037623|C0033993
Rapid early responders (RERs) to 3 ABVE-PC cycles received 21 Gy radiation to involved regions; RER was documented in 63% of patients.,Rapid responders (RERs) 3 ABVE-PC cycles received 21 Gy radiation involved regions; RER documented 63% patients.,C0456962|G0000000|C0230779|G0000000|C1879497|C1511572|C1514756|C0450371|C0018408|C0034519|C1314939|C0017446|C0230779|C1301725|C0450371|C0030705
"Abbreviation: Q, quintiles; SMHS, Shanghai Men's Health Study; SWHS, Shanghai Women's Health Study.","Abbreviation: Q, quintiles; SMHS, Shanghai Men's Health Study; SWHS, Shanghai Women's Health Study.",C0000723|G0000000|C1508496|C1824631|G0000000|C0025266|C0018684|C0557651|G0000000|G0000000|C0043210|C0018684|C0557651
"The website entitled “Living Well with Fibromyalgia” contained 13 modules segregated into three broad segments: (a) educational lectures providing background knowledge about FM as a disease state, (b) education, behavioral, and cognitive skills designed to help with symptom management, and (c) behavioral and cognitive skills designed to facilitate adaptive life style changes for managing FM (see Figure 2).","The website entitled “Living Well Fibromyalgia” contained 13 modules segregated broad segments: (a) educational lectures providing background knowledge FM disease state, (b) education, behavioral, cognitive skills designed symptom management, (c) behavioral cognitive skills designed facilitate adaptive life style managing FM (see Figure 2).",G0000000|C2349146|G0000000|G0000000|C0205170|G0000000|C0332256|C0450371|C1709061|C0080141|C0332464|C0441635|G0000000|C0587721|C0376683|C1999230|C1706907|C0376554|C3540627|C0012634|C1301808|G0000000|C0013621|C0004927|C1516691|C0678856|C1707689|C1457887|C0001554|G0000000|C0004927|C1516691|C0678856|C1707689|G0000000|C0231193|C0376558|C0489654|C1273870|C3540627|C0042789|G0000000|G0000000
Only patients with a follow-up of twelve months or longer after initial diagnosis were included in the analysis.,Only patients follow-up twelve months initial diagnosis included analysis.,C0205171|C0030705|C0589120|C0205458|C0439231|C0205265|C0011900|C0332257|C0002778
"The following data were collected and analyzed: preoperative data (individual patient data, indication for surgery), intraoperative data (conversion to open surgery, conversion ES to UC, operative time, blood loss, complication rate), and postoperative data (morbidity and mortality, volume of drainage, hospital stay).","The data collected analyzed: preoperative data (individual patient data, indication surgery), intraoperative data (conversion surgery, conversion ES UC, operative time, blood loss, complication rate), postoperative data (morbidity mortality, volume drainage, hospital stay).",G0000000|C1511726|C1516695|C0936012|C0445204|C1511726|C0027361|C0030705|C1511726|C0392360|C0038894|C0456904|C1511726|C0439836|C0038894|C0439836|C0013754|G0000000|C1882154|C0040223|C0005767|C1517945|C0009566|C0871208|C0032790|C1511726|C0026538|C0026565|C0449468|C0012621|C0019994|G0000000
Vitamin D deficiency was not a possible risk factor for gestational diabetes in pregnant women.,Vitamin D deficiency risk factor gestational diabetes pregnant women.,C0042890|C0073187|C0011155|C0035647|C1521761|C0439671|C0011847|C0549206|C0043210
"In accordance with the Declaration of Helsinki and with Emory University Institutional Review Board approval, written informed consent/assent was obtained prior to any study procedures.","In Declaration Helsinki Emory University Institutional Review Board approval, written informed consent/assent prior study procedures.",G0000000|G0000000|G0000000|G0000000|C0041740|C0018704|C0282443|C0972401|C0205540|C0043266|C1522154|C1511481|C0332152|C0557651|C0025664
"Briefly, an intensive telephone counseling intervention based on social cognitive theory promoted a daily dietary intake of five vegetable servings, an additional 16 oz of vegetable juice, three fruit servings, 30 g of fiber, and 15% to 20% of energy from fat for the intervention group.","Briefly, intensive telephone counseling intervention based social cognitive theory promoted daily dietary intake vegetable servings, additional 16 oz vegetable juice, fruit servings, 30 fiber, 15% 20% energy fat intervention group.",G0000000|C0162425|C0039457|C0010210|C0886296|C1527178|C0728831|C1516691|C0871935|C0033414|C0332173|C0012155|C1512806|C0042440|C1519269|C1524062|C0450371|C0439218|C0042440|C1268568|C0016767|C1519269|C0450371|C0012173|C0450371|C0450371|C0424589|C0424612|C0886296|C0441833
This pro-inflammatory effect has been attributed to normal saline-induced hyperchloremic metabolic acidosis.,This pro-inflammatory attributed normal saline-induced hyperchloremic metabolic acidosis.,G0000000|C0033382|C0449234|C0205307|C0036082|C0085679|C0311400|C0001122
The primary aim of the study was to evaluate the efficacy of the intervention in lowering body mass.,The primary aim study evaluate efficacy intervention lowering body mass.,G0000000|C0205225|C1947946|C0557651|C0220825|C1280519|C0886296|C0441994|C0242821|C0577559
Intervention effect on Knowledge of and Attitudes Toward Emergency Contraception (EC) Less change was seen in women’s attitudes toward EC.,Intervention Knowledge Attitudes Toward Emergency Contraception (EC) Less change women’s attitudes EC.,C0886296|C0376554|C0004271|G0000000|C0013956|C0700589|C3890233|C0439092|C0392747|G0000000|C0004271|C3890233
"All patients, regardless of group assignment, continued to receive routine oncology care throughout the study period.","All patients, assignment, continued receive routine oncology care study period.",G0000000|C0030705|C1516050|C0549178|C1514756|C0205547|C0027651|C1947933|C0557651|C0439531
We performed a retrospective analysis of 115 patients with primary central chondrosarcoma of bone who presented with localized disease and who had a minimum follow-up of 5 years after diagnosis.,We performed retrospective analysis 115 patients primary central chondrosarcoma bone localized disease minimum follow-up 5 diagnosis.,G0000000|C0884358|C0035363|C0002778|C1442061|C0030705|C0205225|C0205099|C0008479|C0262950|C0392752|C0012634|C1524031|C0589120|G0000000|C0011900
Groups were not significantly different for other cognitive variables.,Groups cognitive variables.,C0441833|C1516691|C0439828
The cumulative colonoscopy rate in the Nottingham study was 1.9% of the intervention group using a biennial screening process..,The cumulative colonoscopy rate Nottingham study 1.9% intervention biennial screening process..,G0000000|C1511559|C0009378|C0871208|G0000000|C0557651|G0000000|C0886296|G0000000|C0220908|C1184743
Data regarding the use of technology to improve adolescent knowledge on vaccines are scarce.,Data technology improve adolescent knowledge vaccines scarce.,C1511726|C0039421|G0000000|C0205653|C0376554|C0042210|G0000000
Treatment closes with a return to a focus on valued-living and participants are engaged in values clarification and goal identification exercises.,Treatment closes return focus valued-living participants engaged values clarification goal identification exercises.,C0039798|C0587267|C0332156|C0205234|C1522609|C0679646|C0425152|C0042295|C2986669|C0018017|C0020792|C0015259
A median of two cycles of treatment was given in both arms.,A median cycles treatment arms.,G0000000|C0549183|C1511572|C0039798|C0206655
"Abbreviations: GEM, gemcitabine; GEM FDR, gemcitabine fixed-dose rate; GEMOX, gemcitabine 1,000 mg/m2/100 minutes/day 1 plus oxaliplatin 100 mg/m2/day 2 every 14 days.","Abbreviations: GEM, gemcitabine; GEM FDR, gemcitabine fixed-dose rate; GEMOX, gemcitabine 1,000 mg/m2/100 minutes/day 1 oxaliplatin 100 mg/m2/day 2 14 days.",C0000723|G0000000|C0045093|G0000000|C1517194|C0045093|C0443218|C0871208|C0879382|C0045093|C1442061|C0026410|C0556973|G0000000|C0069717|C1442061|C0439422|G0000000|C0450371|C0439228
"Study participants were drawn from the community with assistance from the local Ohio Epilepsy Association, MetroHealth System, a regional safety-net healthcare provider, the Lois Stoke VA, and University Hospitals of Cleveland Neurological Institute, a tertiary care center.","Study participants drawn community assistance local Ohio Epilepsy Association, MetroHealth System, regional safety-net healthcare provider, Lois Stoke VA, University Hospitals Cleveland Neurological Institute, tertiary care center.",C0557651|C0679646|C0013113|C0009462|C0018896|C0205276|C0028905|C0014544|C0004083|G0000000|C0449913|C0205147|C0036043|C0086388|C1138603|G0000000|G0000000|C1549054|C0041740|C0019994|C0454845|C0205494|C0021622|C0205372|C1947933|C0205099
"The responsibilities will include (but are not limited to): · Reporting to the TSC · The day-to-day management of the trial · Ensuring that all relevant procedures for the conduct of the trial are in place · Advising the TCC staff on specific aspects as required · Maintaining the Trial Master File · Identifying trial sites · Confirming all approvals are in place before release of trial treatment and the start of the trial at a site · Providing training about the trial · Providing study materials · Acting as the data management centre · Providing a 24-h advice and unblinding service · Giving collaborators regular information about the progress of the study · Responding to questions (for example, from collaborators) about the trial · Ensuring data security and quality and observe data protection laws · Safety reporting · Ensuring the trial is conducted in accordance with the ICH GCP · Statistical analysis · Publication of trial results For urgent enquiries, adverse event reporting and unblinding queries, investigators can contact the 24-h telephone service provided by the TCC.","The responsibilities (but limited to): · Reporting TSC · The day-to-day management trial · Ensuring relevant procedures conduct trial · Advising TCC staff specific aspects required · Maintaining Trial Master File · Identifying trial sites · Confirming approvals release trial treatment start trial site · Providing training trial · Providing study materials · Acting data management centre · Providing 24-h advice unblinding service · Giving collaborators regular progress study · Responding questions (for example, collaborators) trial · Ensuring data security quality observe data protection laws · Safety reporting · Ensuring trial conducted ICH GCP · Statistical analysis · Publication trial For urgent enquiries, adverse event reporting unblinding queries, investigators contact 24-h telephone service provided TCC.",G0000000|C0678341|G0000000|C0439801|G0000000|G0000000|C0700287|G0000000|G0000000|G0000000|C0332173|C0001554|C0008976|G0000000|C0218063|C2347946|C0025664|C0004927|C0008976|G0000000|C1828381|C0077072|C0851286|C0205369|C1547011|C1514873|G0000000|C0024501|C0008976|C0444649|C0016094|G0000000|G0000000|C0008976|C0205145|G0000000|C0521093|C0205540|C0030685|C0008976|C0039798|C0439659|C0008976|C0205145|G0000000|C1999230|C0040607|C0008976|G0000000|C1999230|C0557651|C0520510|G0000000|G0000000|C1511726|C0001554|C0205099|G0000000|C1999230|C0450371|C0150600|C3897431|C0557854|G0000000|C1947971|C2827395|C0205272|C1272688|C0557651|G0000000|G0000000|C1522634|G0000000|C1707959|C2827395|C0008976|G0000000|C0218063|C1511726|C1519222|C0332306|C1441672|C1511726|C1545588|C0023150|G0000000|C0036043|C0700287|G0000000|C0218063|C0008976|C0004927|C0019191|G0000000|G0000000|C0038215|C0002778|G0000000|C0034036|C0008976|G0000000|C0439609|G0000000|G0000000|C0441471|C0700287|C3897431|C1522634|C0035173|C0332158|C0450371|C0039457|C0557854|C1999230|C0077072
"A minimum boost of 5.4 Gy (administered over 3 days in 1.8 Gy fractions) was required for patients with T3 nonfixed cancer and nondistal tumors (total cumulative dose of 50.4 Gy, including large pelvic fields).","A minimum boost 5.4 Gy (administered 3 days 1.8 Gy fractions) required patients T3 nonfixed cancer nondistal tumors (total cumulative dose 50.4 Gy, including pelvic fields).",G0000000|C1524031|C1511253|G0000000|C0018408|C1521801|G0000000|C0439228|G0000000|C0018408|C1264633|C1514873|C0030705|C0041403|G0000000|C0006826|G0000000|C0027651|C0439175|C1511559|C0178602|C0450371|C0018408|C0332257|C0030797|C0440042
"Despite a higher rate of grade 3 or 4 adverse events in CS group than in CF group, the number of patients discontinuing treatment due to toxicity was limited, and patients in CS group were able to stay on treatment longer than those in CF group.","Despite rate grade 3 4 adverse events CS CF group, patients discontinuing treatment toxicity limited, patients CS stay treatment CF group.",G0000000|C0871208|C0441800|G0000000|G0000000|G0000000|C0441471|C0010182|C0009738|C0441833|C0030705|C1444662|C0039798|C0040539|C0439801|C0030705|C0010182|G0000000|C0039798|C0009738|C0441833
The Kaplan-Meier estimator was used to estimate the survival function from data on recurrence of IN and progression to cancer.,The Kaplan-Meier estimator estimate survival function data recurrence IN progression cancer.,G0000000|G0000000|C0401805|C0750572|C0038952|C0031843|C1511726|C0034897|G0000000|C0242656|C0006826
Poor communication about uncertainty and hope in encounters with cancer patients may lead to negative outcomes for both patients and care providers [25–27].,Poor communication uncertainty hope encounters cancer patients lead negative outcomes patients care providers [25–27].,C0032854|C0009452|C0087130|C0392347|C0545082|C0006826|C0030705|C0023175|C0205160|C1274040|C0030705|C1947933|C1138603|G0000000
"The continuum was 140 mm long, and anchored by the word ‘Normal’ on the left and ‘Malignant’ on the right.","The continuum 140 mm long, anchored word ‘Normal’ left ‘Malignant’ right.",G0000000|G0000000|C1442061|G0000000|C0205166|C1293132|C1705313|G0000000|C0205091|G0000000|C0205090
Total intended platinum dose for stage I (non-pure fetal) and stage II patients was 400 mg/m2 (12 mg/kg for patients < 1 year of age) of cisplatin.,Total intended platinum dose stage I (non-pure fetal) stage II patients 400 mg/m2 (12 mg/kg patients < 1 age) cisplatin.,C0439175|C1283828|C0032207|C0178602|C0205390|C0021966|C1518422|C0015965|C0205390|G0000000|C0030705|C1442061|C0026410|C0450371|C0439272|C0030705|G0000000|G0000000|C0001779|C0008838
